race_id,horse,jockey,trainer,weather,track_condition,distance,finish,gate,odds,place_odds,form_score,condition_score,weight_diff,paddock_score,odds_shift
R0001,Horse_08,Jockey_04,Trainer_07,曇,重,1800,1,7,1.77,1.39,60.1,60.3,1.9,59.6,0.0
R0001,Horse_09,Jockey_09,Trainer_05,曇,重,1800,2,10,2.51,1.7,65.3,54.0,0.7,61.9,0.0
R0001,Horse_23,Jockey_09,Trainer_04,曇,重,1800,3,8,2.6,1.89,68.3,69.4,-2.7,67.7,0.0
R0001,Horse_22,Jockey_01,Trainer_09,曇,重,1800,4,5,3.24,1.91,63.7,61.6,-8.9,67.2,0.0
R0001,Horse_05,Jockey_07,Trainer_03,曇,重,1800,5,9,4.61,2.44,59.9,76.7,-8.2,64.7,0.0
R0001,Horse_17,Jockey_08,Trainer_05,曇,重,1800,6,3,2.44,1.62,57.5,55.9,6.5,53.8,0.0
R0001,Horse_19,Jockey_04,Trainer_09,曇,重,1800,7,4,4.97,2.55,40.4,32.9,7.2,36.0,0.0
R0001,Horse_24,Jockey_09,Trainer_05,曇,重,1800,8,6,5.23,2.59,55.3,50.9,-11.3,51.8,0.0
R0001,Horse_13,Jockey_07,Trainer_05,曇,重,1800,9,1,22.61,7.67,47.9,48.8,0.5,49.6,0.0
R0001,Horse_15,Jockey_01,Trainer_05,曇,重,1800,10,2,27.65,8.92,47.5,46.9,-11.3,44.2,0.0
R0002,Horse_08,Jockey_09,Trainer_05,曇,良,2400,1,7,1.81,1.54,79.7,81.1,1.1,81.9,0.0
R0002,Horse_22,Jockey_05,Trainer_04,曇,良,2400,2,3,1.56,1.35,67.1,68.6,2.5,76.6,0.0
R0002,Horse_12,Jockey_08,Trainer_04,曇,良,2400,3,1,2.04,1.73,70.3,78.6,-8.2,86.6,0.0
R0002,Horse_10,Jockey_03,Trainer_07,曇,良,2400,4,12,2.43,1.8,55.5,62.4,-2.5,69.7,0.0
R0002,Horse_04,Jockey_05,Trainer_04,曇,良,2400,5,2,2.36,1.85,61.5,64.9,-1.4,65.8,0.0
R0002,Horse_18,Jockey_02,Trainer_01,曇,良,2400,6,9,2.89,1.89,60.8,67.8,-4.8,61.1,0.0
R0002,Horse_23,Jockey_11,Trainer_03,曇,良,2400,7,4,5.54,2.54,58.8,59.3,3.8,55.7,0.0
R0002,Horse_17,Jockey_09,Trainer_03,曇,良,2400,8,5,4.96,2.53,36.1,36.7,1.7,40.7,0.0
R0002,Horse_05,Jockey_07,Trainer_01,曇,良,2400,9,11,10.64,3.96,53.2,60.8,4.7,51.3,0.0
R0002,Horse_19,Jockey_01,Trainer_03,曇,良,2400,10,8,9.73,3.74,55.6,60.8,0.2,57.8,0.0
R0002,Horse_11,Jockey_03,Trainer_01,曇,良,2400,11,6,13.8,5.2,55.6,58.2,-4.2,50.0,0.0
R0002,Horse_14,Jockey_07,Trainer_02,曇,良,2400,12,10,63.48,18.0,41.2,45.6,2.0,38.4,0.0
R0003,Horse_07,Jockey_04,Trainer_04,曇,重,1800,1,10,1.98,1.65,71.8,73.9,-8.8,73.9,0.0
R0003,Horse_04,Jockey_11,Trainer_05,曇,重,1800,2,5,1.92,1.74,76.3,78.5,1.8,76.3,0.0
R0003,Horse_17,Jockey_09,Trainer_03,曇,重,1800,3,3,2.85,1.9,62.0,76.8,-9.8,75.8,0.0
R0003,Horse_23,Jockey_07,Trainer_08,曇,重,1800,4,7,2.21,1.79,60.9,53.7,6.6,62.2,0.0
R0003,Horse_10,Jockey_11,Trainer_07,曇,重,1800,5,2,3.58,2.11,70.0,64.9,-7.0,60.4,0.0
R0003,Horse_18,Jockey_02,Trainer_06,曇,重,1800,6,4,4.6,2.39,62.8,57.6,-4.8,54.8,0.0
R0003,Horse_09,Jockey_03,Trainer_08,曇,重,1800,7,1,3.42,1.98,66.5,79.4,1.0,88.0,0.0
R0003,Horse_14,Jockey_02,Trainer_03,曇,重,1800,8,6,9.72,3.83,62.9,63.9,-0.8,60.8,0.0
R0003,Horse_06,Jockey_01,Trainer_06,曇,重,1800,9,8,19.13,6.46,65.6,56.3,-1.7,55.0,0.0
R0003,Horse_15,Jockey_11,Trainer_01,曇,重,1800,10,9,38.59,12.05,48.4,57.1,-1.4,53.4,0.0
R0004,Horse_17,Jockey_05,Trainer_09,晴,稍重,1400,1,7,1.34,1.39,54.2,59.6,-3.4,60.2,0.0
R0004,Horse_24,Jockey_04,Trainer_07,晴,稍重,1400,2,5,1.75,1.62,63.9,62.3,3.0,56.9,0.0
R0004,Horse_04,Jockey_06,Trainer_02,晴,稍重,1400,3,12,2.28,1.74,55.6,40.4,-3.8,42.9,0.0
R0004,Horse_03,Jockey_11,Trainer_06,晴,稍重,1400,4,13,3.89,2.36,74.3,89.8,1.2,95.8,0.0
R0004,Horse_14,Jockey_04,Trainer_03,晴,稍重,1400,5,14,3.14,1.8,56.8,57.6,2.2,54.8,0.0
R0004,Horse_05,Jockey_08,Trainer_04,晴,稍重,1400,6,6,2.64,1.71,53.1,70.5,3.7,81.0,0.0
R0004,Horse_11,Jockey_08,Trainer_03,晴,稍重,1400,7,8,3.27,1.92,46.9,54.8,2.5,53.5,0.0
R0004,Horse_12,Jockey_07,Trainer_06,晴,稍重,1400,8,2,7.52,3.13,61.4,57.1,-3.9,58.2,0.0
R0004,Horse_09,Jockey_11,Trainer_08,晴,稍重,1400,9,9,7.78,3.22,65.2,68.3,1.7,63.0,0.0
R0004,Horse_21,Jockey_01,Trainer_04,晴,稍重,1400,10,10,9.05,3.88,45.8,48.5,-0.2,51.1,0.0
R0004,Horse_02,Jockey_05,Trainer_01,晴,稍重,1400,11,11,9.52,3.73,30.0,33.8,-1.4,36.3,0.0
R0004,Horse_20,Jockey_10,Trainer_05,晴,稍重,1400,12,4,9.36,3.79,38.7,28.3,3.6,29.5,0.0
R0004,Horse_13,Jockey_09,Trainer_09,晴,稍重,1400,13,1,18.74,6.26,47.9,52.5,5.5,39.5,0.0
R0004,Horse_01,Jockey_07,Trainer_02,晴,稍重,1400,14,3,27.39,8.8,52.7,52.6,-3.9,53.4,0.0
R0005,Horse_07,Jockey_06,Trainer_06,曇,稍重,2200,1,8,1.57,1.5,72.6,70.5,5.7,70.8,0.0
R0005,Horse_05,Jockey_01,Trainer_05,曇,稍重,2200,2,3,2.56,1.63,42.6,48.1,5.9,41.5,0.0
R0005,Horse_09,Jockey_04,Trainer_08,曇,稍重,2200,3,11,3.36,2.13,42.9,38.6,-7.3,36.8,0.0
R0005,Horse_22,Jockey_07,Trainer_02,曇,稍重,2200,4,5,2.65,1.83,60.4,63.5,-5.1,58.5,0.0
R0005,Horse_14,Jockey_08,Trainer_06,曇,稍重,2200,5,4,2.96,1.86,53.7,47.2,-4.6,55.0,0.0
