race_id,horse,jockey,trainer,weather,track_condition,distance,gate,odds,place_odds,finish,form_score,condition_score,weight_diff,paddock_score,odds_shift
R0001,Horse_08,Jockey_04,Trainer_07,曇,重,1800,7,1.77,1.39,1,60.1,60.3,1.9,59.6,0.0
R0001,Horse_09,Jockey_09,Trainer_05,曇,重,1800,10,2.51,1.7,2,65.3,54.0,0.7,61.9,0.0
R0001,Horse_23,Jockey_09,Trainer_04,曇,重,1800,8,2.6,1.89,3,68.3,69.4,-2.7,67.7,0.0
R0001,Horse_22,Jockey_01,Trainer_09,曇,重,1800,5,3.24,1.91,4,63.7,61.6,-8.9,67.2,0.0
R0001,Horse_05,Jockey_07,Trainer_03,曇,重,1800,9,4.61,2.44,5,59.9,76.7,-8.2,64.7,0.0
R0001,Horse_17,Jockey_08,Trainer_05,曇,重,1800,3,2.44,1.62,6,57.5,55.9,6.5,53.8,0.0
R0001,Horse_19,Jockey_04,Trainer_09,曇,重,1800,4,4.97,2.55,7,40.4,32.9,7.2,36.0,0.0
R0001,Horse_24,Jockey_09,Trainer_05,曇,重,1800,6,5.23,2.59,8,55.3,50.9,-11.3,51.8,0.0
R0001,Horse_13,Jockey_07,Trainer_05,曇,重,1800,1,22.61,7.67,9,47.9,48.8,0.5,49.6,0.0
R0001,Horse_15,Jockey_01,Trainer_05,曇,重,1800,2,27.65,8.92,10,47.5,46.9,-11.3,44.2,0.0
R0002,Horse_08,Jockey_09,Trainer_05,曇,良,2400,7,1.81,1.54,1,79.7,81.1,1.1,81.9,0.0
R0002,Horse_22,Jockey_05,Trainer_04,曇,良,2400,3,1.56,1.35,2,67.1,68.6,2.5,76.6,0.0
R0002,Horse_12,Jockey_08,Trainer_04,曇,良,2400,1,2.04,1.73,3,70.3,78.6,-8.2,86.6,0.0
R0002,Horse_10,Jockey_03,Trainer_07,曇,良,2400,12,2.43,1.8,4,55.5,62.4,-2.5,69.7,0.0
R0002,Horse_04,Jockey_05,Trainer_04,曇,良,2400,2,2.36,1.85,5,61.5,64.9,-1.4,65.8,0.0
R0002,Horse_18,Jockey_02,Trainer_01,曇,良,2400,9,2.89,1.89,6,60.8,67.8,-4.8,61.1,0.0
R0002,Horse_23,Jockey_11,Trainer_03,曇,良,2400,4,5.54,2.54,7,58.8,59.3,3.8,55.7,0.0
R0002,Horse_17,Jockey_09,Trainer_03,曇,良,2400,5,4.96,2.53,8,36.1,36.7,1.7,40.7,0.0
R0002,Horse_05,Jockey_07,Trainer_01,曇,良,2400,11,10.64,3.96,9,53.2,60.8,4.7,51.3,0.0
R0002,Horse_19,Jockey_01,Trainer_03,曇,良,2400,8,9.73,3.74,10,55.6,60.8,0.2,57.8,0.0
R0002,Horse_11,Jockey_03,Trainer_01,曇,良,2400,6,13.8,5.2,11,55.6,58.2,-4.2,50.0,0.0
R0002,Horse_14,Jockey_07,Trainer_02,曇,良,2400,10,63.48,18.0,12,41.2,45.6,2.0,38.4,0.0
R0003,Horse_07,Jockey_04,Trainer_04,曇,重,1800,10,1.98,1.65,1,71.8,73.9,-8.8,73.9,0.0
R0003,Horse_04,Jockey_11,Trainer_05,曇,重,1800,5,1.92,1.74,2,76.3,78.5,1.8,76.3,0.0
R0003,Horse_17,Jockey_09,Trainer_03,曇,重,1800,3,2.85,1.9,3,62.0,76.8,-9.8,75.8,0.0
R0003,Horse_23,Jockey_07,Trainer_08,曇,重,1800,7,2.21,1.79,4,60.9,53.7,6.6,62.2,0.0
R0003,Horse_10,Jockey_11,Trainer_07,曇,重,1800,2,3.58,2.11,5,70.0,64.9,-7.0,60.4,0.0
R0003,Horse_18,Jockey_02,Trainer_06,曇,重,1800,4,4.6,2.39,6,62.8,57.6,-4.8,54.8,0.0
R0003,Horse_09,Jockey_03,Trainer_08,曇,重,1800,1,3.42,1.98,7,66.5,79.4,1.0,88.0,0.0
R0003,Horse_14,Jockey_02,Trainer_03,曇,重,1800,6,9.72,3.83,8,62.9,63.9,-0.8,60.8,0.0
R0003,Horse_06,Jockey_01,Trainer_06,曇,重,1800,8,19.13,6.46,9,65.6,56.3,-1.7,55.0,0.0
R0003,Horse_15,Jockey_11,Trainer_01,曇,重,1800,9,38.59,12.05,10,48.4,57.1,-1.4,53.4,0.0
R0004,Horse_17,Jockey_05,Trainer_09,晴,稍重,1400,7,1.34,1.39,1,54.2,59.6,-3.4,60.2,0.0
R0004,Horse_24,Jockey_04,Trainer_07,晴,稍重,1400,5,1.75,1.62,2,63.9,62.3,3.0,56.9,0.0
